Transaction,Best,Average,Worst,Deadline,DeadlineMet
service_gen237.psource_service,2.0,,11.0,15.0,y
service_gen244.psource_service,2.0,,9.0,39.0,y
service_gen248.psource_service,2.0,,7.0,18.0,y
service_gen252.psource_service,2.0,,5.0,16.0,y
service_gen256.psource_service,3.0,,3.0,4.0,y
